name,name_copy
aaron connolly,aaron connolly
aaron cresswell,aaron cresswell
aaron hickey,aaron hickey
aaron lennon,aaron lennon
aaron ramsdale,aaron ramsdale
aaron wan bissaka,aaron wan bissaka
abdoulaye doucoure,abdoulaye doucoure
aboubakar kamara,aboubakar kamara
adam armstrong,adam armstrong
adam forshaw,adam forshaw
adam idah,adam idah
adam lallana,adam lallana
adam masina,adam masina
adam smith,adam smith
adam webster,adam webster
adama traore,adama traore
adama traore diarra,NA
ademola lookman,ademola lookman
adrian,adrian
adrian san miguel del castillo,NA
ahmed el mohamady,NA
ahmed el sayed hegazy,NA
ahmed elmohamady,ahmed elmohamady
ahmed hegazy,ahmed hegazy
ainsley maitland niles,ainsley maitland niles
albert sambi lokonga,albert sambi lokonga
alejandro garnacho,alejandro garnacho
alejandro garnacho ferreyra,NA
aleksandar mitrovic,aleksandar mitrovic
alex iwobi,alex iwobi
alex kral,alex kral
alex mccarthy,alex mccarthy
alex mighten,alex mighten
alex moreno,alex moreno
alex nicolao telles,NA
alex oxlade chamberlain,alex oxlade chamberlain
alex telles,alex telles
alexander isak,alexander isak
alexandre jankewitz,alexandre jankewitz
alexandre lacazette,alexandre lacazette
alexandre moreno lopera,NA
alexis mac allister,alexis mac allister
alireza jahanbakhsh,alireza jahanbakhsh
alisson,alisson
alisson ramses becker,NA
allan,allan
allan marques loureiro,NA
allan saint maximin,allan saint maximin
allan tchaptchet,allan tchaptchet
alphonse areola,alphonse areola
alvaro fernandez,alvaro fernandez
amad diallo,NA
amad diallo traore,amad diallo traore
amadou onana,amadou onana
andi zeqiri,andi zeqiri
andre ayew,andre ayew
andre filipe tavares gomes,NA
andre frank zambo anguissa,NA
andre gomes,andre gomes
andreas christensen,andreas christensen
andreas hoelgebaum pereira,NA
andreas pereira,andreas pereira
andrew moran,andrew moran
andrew omobamidele,andrew omobamidele
andrew robertson,andrew robertson
andriy yarmolenko,andriy yarmolenko
andros townsend,andros townsend
andy carroll,andy carroll
angelo ogbonna,angelo ogbonna
angus gunn,angus gunn
anthony elanga,anthony elanga
anthony gordon,anthony gordon
anthony martial,anthony martial
antoine semenyo,antoine semenyo
antonee robinson,antonee robinson
antonio rudiger,antonio rudiger
antony,antony
antony matheus dos santos,NA
antwoine hackford,antwoine hackford
anwar el ghazi,anwar el ghazi
armando broja,armando broja
armel bella kotchap,armel bella kotchap
arnaut danjuma,arnaut danjuma
arthur masuaku,arthur masuaku
ashley barnes,ashley barnes
ashley fletcher,ashley fletcher
ashley westwood,ashley westwood
ashley young,ashley young
asmir begovic,asmir begovic
axel tuanzebe,axel tuanzebe
aymeric laporte,aymeric laporte
ayoze perez,ayoze perez
bailey peacock farrell,bailey peacock farrell
bali mumba,bali mumba
bamidele alli,NA
ben chilwell,ben chilwell
ben davies,ben davies
ben doak,ben doak
ben foster,ben foster
ben gibson,ben gibson
ben godfrey,ben godfrey
ben johnson,ben johnson
ben mee,ben mee
ben osborn,ben osborn
ben pearson,ben pearson
ben white,ben white
benjamin chilwell,NA
benjamin mendy,benjamin mendy
benjamin white,NA
benoit badiashile,benoit badiashile
bernard,bernard
