kickoff_time,team_id,team_difficulty,team,team_difficulty_avg_next_5
2024-08-17,1,2,Arsenal,3.4
2024-08-24,1,4,Arsenal,3
2024-08-31,1,2,Arsenal,3
2024-09-15,1,4,Arsenal,3
2024-09-22,1,5,Arsenal,2.8
2024-09-28,1,2,Arsenal,3.2
2024-10-05,1,2,Arsenal,3.2
2024-10-19,1,2,Arsenal,3.2
2024-10-26,1,4,Arsenal,3
2024-11-02,1,4,Arsenal,2.8
2024-11-09,1,4,Arsenal,2.4
2024-11-23,1,2,Arsenal,2.6
2024-11-30,1,2,Arsenal,2.6
2024-12-03,1,3,Arsenal,2.4
2024-12-07,1,3,Arsenal,2.2
2024-12-14,1,2,Arsenal,2.4
2024-12-21,1,3,Arsenal,2.4
2024-12-26,1,2,Arsenal,2.4
2024-12-29,1,2,Arsenal,3
2025-01-04,1,2,Arsenal,3
2025-01-14,1,3,Arsenal,2.8
2025-01-18,1,3,Arsenal,2.6
2025-01-25,1,2,Arsenal,2.8
2025-02-01,1,5,Arsenal,2.4
2025-02-15,1,2,Arsenal,2.4
2025-02-22,1,2,Arsenal,2.6
2025-02-25,1,2,Arsenal,2.6
2025-03-08,1,3,Arsenal,2.4
2025-03-15,1,3,Arsenal,2.2
2025-04-01,1,2,Arsenal,2.2
2025-04-05,1,3,Arsenal,2.6
2025-04-12,1,2,Arsenal,2.8
2025-04-19,1,2,Arsenal,2.8
2025-04-26,1,2,Arsenal,3
2025-05-03,1,2,Arsenal,3.3333333333333335
2025-05-10,1,5,Arsenal,2.5
2025-05-18,1,3,Arsenal,2
2025-05-25,1,2,Arsenal,2
2024-08-17,2,2,Aston Villa,2.6
2024-08-24,2,5,Aston Villa,2.2
2024-08-31,2,2,Aston Villa,2.4
2024-09-14,2,2,Aston Villa,2.4
2024-09-21,2,2,Aston Villa,2.8
2024-09-29,2,2,Aston Villa,3.4
2024-10-05,2,3,Aston Villa,3.2
2024-10-19,2,3,Aston Villa,3.4
2024-10-26,2,2,Aston Villa,3.4
2024-11-02,2,4,Aston Villa,3
2024-11-09,2,5,Aston Villa,2.4
2024-11-23,2,2,Aston Villa,3
2024-11-30,2,4,Aston Villa,3
2024-12-03,2,2,Aston Villa,3
2024-12-07,2,2,Aston Villa,3
2024-12-14,2,2,Aston Villa,3.2
2024-12-21,2,5,Aston Villa,3.2
2024-12-26,2,4,Aston Villa,2.8
2024-12-29,2,2,Aston Villa,2.8
2025-01-04,2,2,Aston Villa,2.8
2025-01-14,2,3,Aston Villa,2.8
2025-01-18,2,5,Aston Villa,2.4
2025-01-25,2,2,Aston Villa,2.4
2025-02-01,2,2,Aston Villa,2.8
2025-02-15,2,2,Aston Villa,2.8
2025-02-22,2,3,Aston Villa,2.6
2025-02-25,2,3,Aston Villa,2.4
2025-03-08,2,2,Aston Villa,2.6
2025-03-15,2,4,Aston Villa,2.8
2025-04-01,2,2,Aston Villa,2.8
