<!DOCTYPE html>,GoalWeek,season_x
<html,3,2024_25
"lang=""en""",3,2024_25
"data-color-mode=""auto"" data-light-theme=""light"" data-dark-theme=""dark""",3,2024_25
"data-a11y-animated-images=""system"" data-a11y-link-underlines=""true""",3,2024_25
>,3,2024_25
<head>,3,2024_25
"<meta charset=""utf-8"">",3,2024_25
"<link rel=""dns-prefetch"" href=""https://github.githubassets.com"">",3,2024_25
"<link rel=""dns-prefetch"" href=""https://avatars.githubusercontent.com"">",3,2024_25
"<link rel=""dns-prefetch"" href=""https://github-cloud.s3.amazonaws.com"">",3,2024_25
"<link rel=""dns-prefetch"" href=""https://user-images.githubusercontent.com/"">",3,2024_25
"<link rel=""preconnect"" href=""https://github.githubassets.com"" crossorigin>",3,2024_25
"<link rel=""preconnect"" href=""https://avatars.githubusercontent.com"">",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/light-3e154969b9f9.css"" /><link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/dark-9c5b7a476542.css"" /><link data-color-theme=""dark_dimmed"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/dark_dimmed-afda8eb0fb33.css"" /><link data-color-theme=""dark_high_contrast"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/dark_high_contrast-2494e44ccdc5.css"" /><link data-color-theme=""dark_colorblind"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/dark_colorblind-56fff47acadc.css"" /><link data-color-theme=""light_colorblind"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/light_colorblind-71cd4cc132ec.css"" /><link data-color-theme=""light_high_contrast"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/light_high_contrast-fd5499848985.css"" /><link data-color-theme=""light_tritanopia"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/light_tritanopia-31d17ba3e139.css"" /><link data-color-theme=""dark_tritanopia"" crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" data-href=""https://github.githubassets.com/assets/dark_tritanopia-68d6b2c79663.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/primer-primitives-4cf0d59ab51a.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/primer-ff8ec1db4f06.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/global-dcca24a0602a.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/github-e4eed26e112b.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/repository-0f7cf89e325a.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/code-14def43eef8d.css"" />",3,2024_25
