name,position,team,kickoff_time,opponent_team,value,was_home
Leon Bailey,MID,Aston Villa,2024-09-14,8,64,TRUE
Ross Barkley,MID,Aston Villa,2024-09-14,8,53,TRUE
Enzo Barrenechea,MID,Aston Villa,2024-09-14,8,49,TRUE
Emiliano Buendía Stati,MID,Aston Villa,2024-09-14,8,54,TRUE
Matty Cash,DEF,Aston Villa,2024-09-14,8,44,TRUE
Leander Dendoncker,MID,Aston Villa,2024-09-14,8,45,TRUE
Moussa Diaby,MID,Aston Villa,2024-09-14,8,65,TRUE
Diego Carlos Santos Silva,DEF,Aston Villa,2024-09-14,8,45,TRUE
Lucas Digne,DEF,Aston Villa,2024-09-14,8,45,TRUE
Lewis Dobbin,MID,Aston Villa,2024-09-14,8,50,TRUE
Jhon Durán,FWD,Aston Villa,2024-09-14,8,60,TRUE
Joe Gauci,GK,Aston Villa,2024-09-14,8,40,TRUE
Kortney Hause,DEF,Aston Villa,2024-09-14,8,40,TRUE
Samuel Iling-Junior,MID,Aston Villa,2024-09-14,8,54,TRUE
Boubacar Kamara,MID,Aston Villa,2024-09-14,8,50,TRUE
Kaine Kesler-Hayden,DEF,Aston Villa,2024-09-14,8,40,TRUE
Ezri Konsa Ngoyo,DEF,Aston Villa,2024-09-14,8,45,TRUE
Ian Maatsen,DEF,Aston Villa,2024-09-14,8,49,TRUE
Filip Marschall,GK,Aston Villa,2024-09-14,8,40,TRUE
Emiliano Martínez Romero,GK,Aston Villa,2024-09-14,8,50,TRUE
John McGinn,MID,Aston Villa,2024-09-14,8,55,TRUE
Tyrone Mings,DEF,Aston Villa,2024-09-14,8,44,TRUE
Kosta Nedeljković,DEF,Aston Villa,2024-09-14,8,40,TRUE
Robin Olsen,GK,Aston Villa,2024-09-14,8,45,TRUE
Pau Torres,DEF,Aston Villa,2024-09-14,8,45,TRUE
Jacob Ramsey,MID,Aston Villa,2024-09-14,8,55,TRUE
Morgan Rogers,MID,Aston Villa,2024-09-14,8,51,TRUE
Viljami Sinisalo,GK,Aston Villa,2024-09-14,8,40,TRUE
Lino da Cruz Sousa,DEF,Aston Villa,2024-09-14,8,40,TRUE
Youri Tielemans,MID,Aston Villa,2024-09-14,8,55,TRUE
Ollie Watkins,FWD,Aston Villa,2024-09-14,8,89,TRUE
Amadou Onana,MID,Aston Villa,2024-09-14,8,51,TRUE
