team,name,position,value,previous_season_sum_total_points,starting_11,captain,key_player,.pred
Liverpool,trent alexander arnold,DEF,7,122,Yes,not captain,0,3.30836784362793
Arsenal,ben white,DEF,6.5,182,Yes,not captain,0,3.018457119464874
Crystal Palace,tyrick mitchell,DEF,5,119,Yes,not captain,0,2.4299433460235598
Arsenal,william saliba,DEF,6,164,no,not captain,0,1.9681829977035523
Crystal Palace,joachim andersen,DEF,4.5,121,no,not captain,0,1.7477346839904786
Man City,erling haaland,FWD,15,217,Yes,captain,1,3.909691519737244
Brentford,yoane wissa,FWD,6,131,Yes,not captain,0,2.6066167187690734
Nott'm Forest,chris wood,FWD,6,131,Yes,not captain,0,2.4143333792686463
Arsenal,david raya,GK,5.5,135,Yes,not captain,0,2.895482158660889
Everton,jordan pickford,GK,5,153,no,not captain,0,1.9529435286521912
Liverpool,mohamed salah,MID,12.5,211,Yes,not captain,1,3.783133987426758
Fulham,andreas pereira,MID,5.5,127,Yes,not captain,0,2.4603592834472656
West Ham,tomas soucek,MID,5,116,Yes,not captain,0,2.058609483242035
Newcastle,sean longstaff,MID,5,110,Yes,not captain,0,2.0361415100097657
Everton,dwight mcneil,MID,5.5,124,no,not captain,0,1.9910958228111268
