code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,season_x
3,0,NA,1,0,Arsenal,0,0,0,ARS,5,NA,FALSE,0,1350,1380,1370,1370,1330,1390,1,2024_25
7,0,NA,2,0,Aston Villa,0,0,0,AVL,3,NA,FALSE,0,1120,1245,1110,1140,1130,1350,2,2024_25
91,0,NA,3,0,Bournemouth,0,0,0,BOU,3,NA,FALSE,0,1100,1100,1075,1100,1130,1105,127,2024_25
94,0,NA,4,0,Brentford,0,0,0,BRE,3,NA,FALSE,0,1100,1100,1105,1095,1100,1110,130,2024_25
36,0,NA,5,0,Brighton,0,0,0,BHA,3,NA,FALSE,0,1100,1100,1100,1105,1100,1100,131,2024_25
8,0,NA,6,0,Chelsea,0,0,0,CHE,3,NA,FALSE,0,1130,1255,1090,1180,1170,1330,4,2024_25
31,0,NA,7,0,Crystal Palace,0,0,0,CRY,3,NA,FALSE,0,1100,1165,1110,1180,1090,1155,6,2024_25
11,0,NA,8,0,Everton,0,0,0,EVE,3,NA,FALSE,0,1090,1125,1100,1175,1080,1080,7,2024_25
54,0,NA,9,0,Fulham,0,0,0,FUL,3,NA,FALSE,0,1080,1125,1070,1130,1090,1120,34,2024_25
40,0,NA,10,0,Ipswich,0,0,0,IPS,2,NA,FALSE,0,1050,1050,1050,1050,1050,1050,8,2024_25
13,0,NA,11,0,Leicester,0,0,0,LEI,2,NA,FALSE,0,1050,1060,1060,1050,1060,1050,26,2024_25
14,0,NA,12,0,Liverpool,0,0,0,LIV,4,NA,FALSE,0,1235,1370,1170,1350,1300,1390,10,2024_25
43,0,NA,13,0,Man City,0,0,0,MCI,5,NA,FALSE,0,1355,1380,1335,1370,1375,1390,11,2024_25
1,0,NA,14,0,Man Utd,0,0,0,MUN,3,NA,FALSE,0,1115,1175,1110,1120,1120,1230,12,2024_25
4,0,NA,15,0,Newcastle,0,0,0,NEW,4,NA,FALSE,0,1130,1285,1100,1185,1160,1380,23,2024_25
17,0,NA,16,0,Nott'm Forest,0,0,0,NFO,3,NA,FALSE,0,1090,1100,1085,1115,1090,1090,15,2024_25
20,0,NA,17,0,Southampton,0,0,0,SOU,2,NA,FALSE,0,1050,1050,1050,1050,1050,1050,20,2024_25
6,0,NA,18,0,Spurs,0,0,0,TOT,3,NA,FALSE,0,1165,1225,1100,1125,1230,1330,21,2024_25
21,0,NA,19,0,West Ham,0,0,0,WHU,3,NA,FALSE,0,1095,1100,1060,1100,1130,1105,25,2024_25
39,0,NA,20,0,Wolves,0,0,0,WOL,3,NA,FALSE,0,1095,1100,1075,1105,1115,1100,38,2024_25
