code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,season_x
3,0,NA,1,0,Arsenal,0,0,0,ARS,4,NA,FALSE,0,1250,1270,1150,1210,1190,1220,1,2021_22
7,0,NA,2,0,Aston Villa,0,0,0,AVL,3,NA,FALSE,0,1100,1100,1140,1110,1090,1090,2,2021_22
94,0,NA,3,0,Brentford,0,0,0,BRE,2,NA,FALSE,0,1060,1070,1120,1150,1080,1120,130,2021_22
36,0,NA,4,0,Brighton,0,0,0,BHA,3,NA,FALSE,0,1100,1090,1160,1160,1100,1120,131,2021_22
90,0,NA,5,0,Burnley,0,0,0,BUR,2,NA,FALSE,0,1060,1060,1080,1130,1060,1100,43,2021_22
8,0,NA,6,0,Chelsea,0,0,0,CHE,4,NA,FALSE,0,1290,1320,1300,1300,1250,1290,4,2021_22
31,0,NA,7,0,Crystal Palace,0,0,0,CRY,3,NA,FALSE,0,1090,1100,1110,1160,1080,1160,6,2021_22
11,0,NA,8,0,Everton,0,0,0,EVE,2,NA,FALSE,0,1050,1090,1130,1090,1110,1110,7,2021_22
13,0,NA,9,0,Leicester,0,0,0,LEI,3,NA,FALSE,0,1090,1200,1100,1080,1150,1160,26,2021_22
2,0,NA,10,0,Leeds,0,0,0,LEE,3,NA,FALSE,0,1070,1080,1080,1070,1100,1100,9,2021_22
14,0,NA,11,0,Liverpool,0,0,0,LIV,5,NA,FALSE,0,1340,1360,1300,1350,1340,1350,10,2021_22
43,0,NA,12,0,Man City,0,0,0,MCI,5,NA,FALSE,0,1350,1370,1340,1360,1340,1360,11,2021_22
1,0,NA,13,0,Man Utd,0,0,0,MUN,4,NA,FALSE,0,1210,1270,1170,1190,1190,1200,12,2021_22
4,0,NA,14,0,Newcastle,0,0,0,NEW,3,NA,FALSE,0,1090,1170,1050,1030,1040,1070,23,2021_22
45,0,NA,15,0,Norwich,0,0,0,NOR,2,NA,FALSE,0,1030,1040,1040,1040,1040,1030,14,2021_22
20,0,NA,16,0,Southampton,0,0,0,SOU,3,NA,FALSE,0,1080,1110,1090,1140,1120,1090,20,2021_22
6,0,NA,17,0,Spurs,0,0,0,TOT,4,NA,FALSE,0,1210,1270,1190,1200,1210,1210,21,2021_22
57,0,NA,18,0,Watford,0,0,0,WAT,2,NA,FALSE,0,1060,1030,1090,1040,1120,1070,33,2021_22
21,0,NA,19,0,West Ham,0,0,0,WHU,3,NA,FALSE,0,1130,1190,1110,1150,1160,1180,25,2021_22
39,0,NA,20,0,Wolves,0,0,0,WOL,3,NA,FALSE,0,1200,1170,1150,1160,1080,1100,38,2021_22
3,0,NA,1,0,Arsenal,0,0,0,ARS,4,NA,FALSE,0,1245,1285,1250,1250,1240,1320,1,2022_23
7,0,NA,2,0,Aston Villa,0,0,0,AVL,3,NA,FALSE,0,1070,1100,1070,1075,1070,1130,2,2022_23
